"FECHA_HECHO","LONGITUD","LATITUD","SEXO","EDAD","MODALIDAD","LUGAR","NOMBRE_BARRIO","COMUNA"
"2004-07-11T12:00:00.000-05:00",-75.572188,6.265342,"Hombre",30,"Cortopunzante","Desconocido","Caribe","CASTILLA"
"2004-07-13T18:00:00.000-05:00",-75.560434,6.26361,"Hombre",23,"Arma de fuego","Desconocido","San Pedro","ARANJUEZ"
"2005-01-01T20:00:00.000-05:00",-75.54906,6.26688,"Hombre",25,"Arma de fuego","Desconocido","Manrique Oriental","MANRIQUE"
"2005-04-05T01:00:00.000-05:00",-75.561838,6.26807,"Hombre",25,"Arma de fuego","Desconocido","San Pedro","ARANJUEZ"
"2005-11-11T22:00:00.000-05:00",-75.598775,6.254663,"Hombre",25,"Arma de fuego","Desconocido","La Floresta","LA AMERICA"
"2006-02-20T04:00:00.000-05:00",-75.581111,6.289407,"Hombre",40,"Arma de fuego","Desconocido","Kennedy","DOCE DE OCTUBRE"
"2006-02-22T03:00:00.000-05:00",-75.580415,6.248369,"Hombre",30,"Cortopunzante","Desconocido","Naranjal","LAURELES"
"2004-03-01T22:00:00.000-05:00",-75.568938,6.298081,"Hombre",20,"Arma de fuego","Desconocido","Girardot","CASTILLA"
"2006-01-12T07:00:00.000-05:00",-75.553721,6.277977,"Hombre",18,"Arma de fuego","Desconocido","Las Esmeraldas","ARANJUEZ"
"2006-01-13T01:00:00.000-05:00",-75.581093,6.292444,"Hombre",20,"Arma de fuego","Desconocido","San Martín de Porres","DOCE DE OCTUBRE"
"2006-12-04T02:00:00.000-05:00",-75.545384,6.282099,"Hombre",48,"Cortopunzante","Desconocido","Las Granjas","MANRIQUE"
"2006-12-08T01:00:00.000-05:00",-75.579753,6.284463,"Hombre",30,"Cortopunzante","Desconocido","López de  Mesa","ROBLEDO"
"2006-06-23T09:00:00.000-05:00",-75.601495,6.210798,"Hombre",25,"Arma de fuego","Desconocido","El Rincón","BELEN"
"2006-06-24T01:00:00.000-05:00",-75.568571,6.264562,"Hombre",56,"Arma de fuego","Desconocido","El Chagualo","LA CANDELARIA"
"2006-06-26T03:00:00.000-05:00",-75.564454,6.278512,"Hombre",42,"Arma de fuego","Desconocido","Bermejal-Los Álamos","ARANJUEZ"
"2006-02-28T01:00:00.000-05:00",-75.548198,6.276043,"Mujer",64,"Cortopunzante","Desconocido","Santa Inés","MANRIQUE"
"2006-03-03T22:00:00.000-05:00",-75.548976,6.254085,"Hombre",35,"Arma de fuego","Desconocido","La Ladera","VILLA HERMOSA"
"2006-08-23T11:00:00.000-05:00",-75.603828,6.226387,"Hombre",58,"Contundente","Desconocido","La Palma","BELEN"
"2005-08-23T11:00:00.000-05:00",-75.543292,6.282813,"Mujer",23,"Ahorcamiento o estrangulamiento","Desconocido","San José La Cima No.1","MANRIQUE"
"2005-08-25T15:00:00.000-05:00",-75.582029,6.215099,"Hombre",24,"Arma de fuego","Desconocido","Campo Amor","GUAYABAL"
"2006-01-25T21:00:00.000-05:00",-75.553643,6.275777,"Hombre",23,"Arma de fuego","Desconocido","Campo Valdés No.1","ARANJUEZ"
"2004-11-06T12:00:00.000-05:00",-75.545061,6.288451,"Hombre",21,"Arma de fuego","Desconocido","San Pablo","POPULAR"
"2004-05-13T23:00:00.000-05:00",-75.553377,6.279796,"Hombre",35,"Arma de fuego","Desconocido","Las Esmeraldas","ARANJUEZ"
"2004-05-15T20:00:00.000-05:00",-75.573952,6.256614,"Hombre",31,"Cortopunzante","Desconocido","San Benito","LA CANDELARIA"
"2004-05-15T01:00:00.000-05:00",-75.568951,6.253696,"Hombre",35,"Cortopunzante","Desconocido","La Candelaria","LA CANDELARIA"
"2005-03-06T02:00:00.000-05:00",-75.567867,6.282239,"Hombre",26,"Arma de fuego","Desconocido","Moravia","ARANJUEZ"
